tconst	Title	startYear	genres1	leading_role	second_role	third_role	leading_director	poster_path
tt0002130	L'Enfer	1911	Adventure	Salvatore Papa	Arturo Pirovano	Giuseppe de Liguoro	Francesco Bertolini	/sL1ovbqIKapcyGeQ3ytBz919uAa.jpg
tt0003165	Fantômas III: Le Mort Qui Tue	1913	Crime	René Navarre	Edmund Breon	Georges Melchior	Louis Feuillade	/t9WfEu3EAhQoxMbdKqdw8L9lxZv.jpg
tt0003740	Cabiria	1914	Adventure	Italia Almirante-Manzini	Lidia Quaranta	Bartolomeo Pagano	Giovanni Pastrone	/oZhgcHHapkzYmB0OhQcRfZ7LdLM.jpg
tt0003883	L'Enfant de Paris	1913	Crime	Léonce Perret	Louis Leubas	Maurice Lagrenée	Léonce Perret	/3YJ9AIvoNuSxJfHuNAnNK2TtjWe.jpg
tt0006206	Les vampires	1915	Action	Musidora	Édouard Mathé	Marcel Lévesque	Louis Feuillade	/8jO0Zmd468zS9WRLHpwsKUowZAX.jpg
tt0006864	Intolérance	1916	Drama	Lillian Gish	Robert Harron	Mae Marsh	D.W. Griffith	/lJCabs4TMOsKfnl0BmA5Hf16Ezb.jpg
tt0006886	Judex	1916	Adventure	René Cresté	Musidora	René Poyen	Louis Feuillade	/t01u9TqcExE6bEqiyMGsImyjRoZ.jpg
tt0008663	Terje Vigen	1917	Drama	Victor Sjöström	Edith Erastoff	August Falck	Victor Sjöström	/ejxTovLF2vbcII1kz5vClkFt8np.jpg
tt0008879	Les Proscrits	1918	Drama	Victor Sjöström	Edith Erastoff	John Ekman	Victor Sjöström	/21W049VzjH6KH4258mwZ6UOGTzO.jpg
tt0008891	L'oiseau bleu	1918	Family	Tula Belle	Robin Macdougall	Edwin E. Reed	Maurice Tourneur	/eI9l0EIB2YGB24JAAczlYQBPQYw.jpg
tt0009701	Tih Minh	1918	Adventure	Mary Harald	René Cresté	Georges Biscot	Louis Feuillade	/zGJfqUq80pm6ha6iWD03X0EZShy.jpg
