startYear	YearMinMax	overviewNLP	genres1	leading_role	second_role	third_role	leading_director	production_companies_name_hash_0	directors_hash_1	Title	genres_hash_0	genres_hash_1	genres_hash_2
1954	10.274336283185775	schoolteacher hisako oishi struggles imbue students positive view world despite fact war looming	Drama	Hideko Takamine	Itsuo Watanabe	Makoto Miyagawa	Keisuke Kinoshita	0.0	0.0	Vingt-quatre prunelles	0.0	0.0	0.0
1977	15.76991150442472	young advertising executive vatanen suddenly quits job whole life helsinki decides spend finnish wilderness wounded hare hit car becomes travel companion together find reclusion finnish lapland soon disturbed noisy group foreign tourists pretentious finnish hosts hare gets ill needs see vet vatanen must return city finally face choice new former life	Comedy	Antti Litja	Kauko Helovirta	Markku Huhtamo	Risto Jarva	0.0	0.0	Le lièvre de Vatanen	0.0	0.0	0.0
1943	7.64601769911496	alpha 's raised along scientific principles make mike regan great human interest story paper interview prompts alpha run away institute ask show magic mike gets responsibility bargained especially since another story one involving gangsters also come home roost	Comedy	"""Margaret OBrien"""	James Craig	Marsha Hunt	Roy Rowland	-1.0	0.0	L'ange perdu	0.0	0.0	0.0
1927	3.8230088495575267	young prince falls love beautiful barmaid university old heidelberg	Drama	Ramon Novarro	Norma Shearer	Jean Hersholt	Ernst Lubitsch	-1.0	0.0	Le prince étudiant	0.0	0.0	0.0
2000	21.26548672566366	formidable odds -- old - school diving instructor embittered u.s . navy 's new less prejudicial policies -- carl brashear sets sights becoming navy 's first african - american master diver uplifting true story relationship starts rocks fate ultimately conspires bring men together setting mutual respect triumph honor	Biography	Cuba Gooding Jr.	Robert De Niro	Charlize Theron	George Tillman Jr.	0.0	0.0	Les chemins de la dignité	0.0	0.0	0.0
2022	26.522123893805293	three months surviving terrorist attack bistro mia still traumatized unable recall events night effort move forward investigates memories retraces steps	Crime	Virginie Efira	Benoît Magimel	Grégoire Colin	Alice Winocour	0.0	0.0	Revoir Paris	0.0	0.0	0.0
2016	25.088495575221188	unique friendship develops little girl dying mother inherit cook mr . church begins arrangement last six months instead spans fifteen years	Comedy	Eddie Murphy	Britt Robertson	Natascha McElhone	Bruce Beresford	0.0	0.0	Mr. Church	0.0	0.0	0.0
2015	24.849557522123884	growing rural town filled violent delinquents jack learned takes survive despite oblivious mother father aunt falls ill younger cousin comes stay hardened 15 - year - old discovers importance friendship family looking happiness even desolate circumstances	Adventure	Charlie Plummer	Cory Nichols	Christian Madsen	Felix Thompson	0.0	0.0	King Jack	0.0	0.0	0.0
1983	17.20353982300883	master liu master law rival masters shaolin style kung fu wudang style sword fighting running schools city top students chao fung - wu hung jun - kit actually close friends observing two students fighting brothel lord determines two styles dangerous must learn	Action	Chia-Hui Liu	Adam Cheng	Li Ching	Chia-Hui Liu	0.0	0.0	Shaolin contre Wu Tong	0.0	0.0	0.0
2006	22.69911504424777	near future writer victor banev gets un commission investigate 's going remote town tashlinsk reports tell virus - created race brainiac mutants banev 's tween daughter ira enrolled school gifted children taken mutants grown despise ordinary humanity	Drama	Gregory Hlady	Leonid Mozgovoy	Aleksey Kortnev	Konstantin Lopushanskiy	0.0	0.0	Les vilains petits canards	0.0	1.0	0.0
